id,symbol,market,timeframe,direction,entry,stop,target,target_r,stop_pct,mfe_r,mae_r,mae_pct,hrs_first_green,hrs_0.10R,hrs_0.25R,hrs_0.50R,hrs_1.00R,hit_1R,hit_2R,hit_3R,green_then_stopped,final_r,be25_r,be_would_save,be_cuts_winner
0bee2b4a,YAHOO:CL=F,tradfi (index/metal/oil/fx),1h,short,89.433929170881,90.9575023651123,84.86320958818709,3.0,1.7036,1.8994,-1.3561,2.3102,2.0,2.0,2.0,2.0,2.0,True,False,False,True,-1.0,-1.0,False,False
d6c52776,YAHOO:BZ=F,tradfi (index/metal/oil/fx),1h,short,92.27982275826591,93.71875381469727,87.96302958897182,3.0,1.5593,1.9666,-1.2163,1.8966,2.0,2.0,2.0,2.0,2.0,True,False,False,True,-1.0,-1.0,False,False
97033e6f,BTCUSDT,crypto major,15m,long,63420.59982142857,63002.45875,64675.02303571429,3.0,0.6593,2.329,-1.4129,0.9315,0.5,0.5,0.5,1.5,8.0,True,True,False,True,-1.0,0.0,True,False
6dded0cd,BNBUSDT,crypto major,15m,long,602.5766071428571,599.19625,612.7176785714286,3.0,0.561,3.1989,-1.774,0.9952,0.25,0.5,0.5,0.5,3.0,True,True,True,True,-1.0,0.0,True,False
26628473,SOLUSDT,crypto major,15m,long,66.75232142857143,66.10625,68.69053571428573,3.0,0.9679,3.2004,-1.2418,1.2019,0.5,0.5,0.5,0.5,13.0,True,True,True,True,-1.0,0.0,True,False
e3173d71,LINKUSDT,crypto major,15m,long,7.922696428571428,7.848875,8.144160714285714,3.0,0.9318,1.1962,-2.2987,2.1419,0.5,0.5,0.5,18.25,18.5,True,False,False,True,-1.0,0.0,True,False
228841ce,YAHOO:CL=F,tradfi (index/metal/oil/fx),1h,short,86.63732051849365,88.78125095367432,80.20552921295166,3.0,2.4746,2.7274,-0.2764,0.6841,0.0,0.0,0.0,0.0,10.0,True,True,False,False,2.5035,0.0,False,True
69d3739f,YAHOO:BZ=F,tradfi (index/metal/oil/fx),1h,short,89.06536047799247,91.0775032043457,83.02893229893276,3.0,2.2592,2.6715,-0.3999,0.9034,0.0,0.0,0.0,0.0,10.0,True,True,False,False,2.423,0.0,False,True
d121b526,YAHOO:ZW=F,tradfi (index/metal/oil/fx),1h,short,587.2589285714286,593.3125,569.0982142857142,3.0,1.0308,1.2404,-1.1549,1.1905,0.0,0.0,0.0,7.0,8.0,True,False,False,True,-1.0,0.0,True,False
83d6ea98,YAHOO:ZC=F,tradfi (index/metal/oil/fx),1h,short,411.55357142857144,414.875,401.5892857142857,3.0,0.807,0.9194,-1.6398,1.3234,0.0,8.0,8.0,8.0,,False,False,False,True,-1.0,0.0,True,False
1dce4c44,YAHOO:ZS=F,tradfi (index/metal/oil/fx),1h,short,1116.6473214285713,1122.03125,1100.4955357142856,3.0,0.4822,1.374,-2.8516,1.3749,0.0,0.0,0.0,0.0,8.0,True,False,False,True,-1.0,0.0,True,False
650cb385,BTCUSDT,crypto major,5m,long,63511.64089285714,63401.36625,63842.46482142857,3.0,0.1736,2.7057,-1.357,0.2356,0.0,0.0,0.0,0.0,0.75,True,True,False,True,-1.0,0.0,True,False
94714410,ETHUSDT,crypto major,5m,long,1676.7985714285714,1672.65,1689.2442857142858,3.0,0.2474,0.5909,-1.593,0.3941,0.0,0.0,0.0,0.0,,False,False,False,True,-1.0,0.0,True,False
7bb9d07b,BNBUSDT,crypto major,5m,long,603.4689285714286,602.4425,606.5482142857143,3.0,0.1701,9.6656,-6.7116,1.1416,0.0,0.41666666666666663,0.5,0.5,0.5,True,True,True,True,-1.0,-1.0,False,False
