trailing_atr,paired_n,beat_baseline,matched_baseline,hurt_baseline,beat_pct,matched_pct,hurt_pct,baseline_3R_runners,runners_cut_short,runners_cut_pct,net_R_effect_on_runners
1.0,3730,2477,0,1253,0.6640750670241287,0.0,0.33592493297587134,479,393,0.8204592901878914,-479.78404373996744
1.5,3730,2568,0,1162,0.6884718498659518,0.0,0.3115281501340483,479,258,0.5386221294363257,-125.775853010323
2.0,3730,2703,0,1027,0.7246648793565683,0.0,0.27533512064343163,479,139,0.29018789144050106,143.5264809646431
2.5,3730,2811,0,919,0.7536193029490617,0.0,0.24638069705093835,479,42,0.08768267223382047,387.72261617761694
3.0,3730,2870,0,860,0.7694369973190348,0.0,0.23056300268096513,479,13,0.027139874739039668,451.6740766643359
