variant,trades,net_r_per_trade,win_rate,profit_factor,max_drawdown_r,avg_win_r,total_r,boot_p_net_le_0
"BASELINE (tp1 0.5@1R, BE, ride 3R)",3730,-0.05492263438019266,0.4836461126005362,0.8939388635829085,-216.2440703326012,0.9571394153707504,-204.8614262381186,0.9996
"REF ride-3R (no partial, §41)",3540,-0.015100935842321932,0.3327683615819209,0.9769178880153888,-88.00159494866342,1.920632847977532,-53.45731288181964,0.738
TRAIL atr=1.0,4760,0.006378894143688216,0.3892857142857143,1.0217412271241182,-32.17682348020541,0.770076362717628,30.36353612395591,0.293
TRAIL atr=1.5,4230,-0.00810430582790082,0.3773049645390071,0.9802770595032133,-62.89074411595536,1.0675801168242236,-34.28121365202047,0.6904
TRAIL atr=2.0,3924,-0.02333015791469144,0.35881753312945974,0.9529227813531745,-97.94571421563131,1.316106201293323,-91.54753965724922,0.8784
TRAIL atr=2.5,3735,-0.021142539389653815,0.344578313253012,0.9621176163119808,-94.75831782697544,1.5583323117324577,-78.967384620357,0.8338
TRAIL atr=3.0,3626,-0.0184783738923759,0.33866519580805293,0.9689260526644335,-94.1218430688003,1.7013254218692386,-67.00258373375502,0.78
