cell,n,mean_r,win_rate,total_r,boot_p
baseline (all classified),3730,-0.05492263438019266,0.4836461126005362,-204.8614262381186,0.9996
ABOVE 800-EMA,1820,-0.05584361602539699,0.48846153846153845,-101.63538116622252,0.9862
BELOW 800-EMA,1910,-0.05404504977586184,0.4790575916230366,-103.22604507189611,0.9864
ABOVE — long,1820,-0.05584361602539699,0.48846153846153845,-101.63538116622252,0.9862
ABOVE — short,0,,,0.0,
BELOW — long,0,,,0.0,
BELOW — short,1910,-0.05404504977586184,0.4790575916230366,-103.22604507189611,0.9864
