cell,n,mean_r,win_rate,total_r,boot_p
baseline_all,3730,-0.05492263438019266,0.4836461126005362,-204.8614262381186,0.9996
qualifying (near VAH + rejection),101,-0.033482834294960066,0.49504950495049505,-3.3817662637909667,0.634
"near VAH, NO rejection (specificity)",424,-0.08708494803056525,0.45754716981132076,-36.92401796495967,0.9496
qualifying — long,70,-0.1069129130113865,0.4857142857142857,-7.483903910797055,0.8126
qualifying — short,31,0.13232702087116427,0.5161290322580645,4.102137647006092,0.2678
