geometry,n,mean_r,win_rate,total_r,boot_p
A ride-3R,8935,0.08957430209017032,0.35601566871852264,800.3463891756719,0.0
B bank-half/BE (live),8935,0.04837579271469139,0.5313933967543368,432.2377079057676,0.0
C partial no-BE,8935,0.05416143942363867,0.38310016787912704,483.93246125021153,0.0
