variant,scope,n,exp,win,total,boot_p
current (rotation),w2018,181,-0.18312171374812444,0.32044198895027626,-33.14503018841052,0.9652
current (rotation),w2022,423,-0.006503781120223994,0.3309692671394799,-2.7510994138547495,0.5472
current (rotation),recent,2936,-0.00598132945488909,0.3337874659400545,-17.561183279554367,0.5848
current (rotation),ALL,3540,-0.015100935842321932,0.3327683615819209,-53.45731288181964,0.738
§41-era (momentum),w2018,450,0.12123953521194739,0.37333333333333335,54.557790845376324,0.0542
§41-era (momentum),w2022,951,0.04337906058773168,0.34069400630914826,41.253486618932826,0.1982
§41-era (momentum),recent,6723,0.10154627147964462,0.3575784619961327,682.6955831576508,0.0
§41-era (momentum),ALL,8124,0.09582802321786804,0.3564746430329887,778.50686062196,0.0
