id,symbol,filled_at,side,journal_r,net_a,net_b,net_c
bb1612c7,XRPUSDT,2026-06-23 01:00:00+00:00,short,3.0,1.515679163662589,1.2349918889690017,1.2349918889690017
c80e377e,DOGEUSDT,2026-06-23 01:00:00+00:00,short,3.0,2.963889617486339,1.9548620218579233,1.9548620218579233
7a8178fb,LINKUSDT,2026-06-23 01:00:00+00:00,short,3.0,2.9697948034188033,1.962243504273504,1.962243504273504
0be425b4,DOTUSDT,2026-06-23 02:00:00+00:00,short,3.0,2.9736877192982454,1.967109649122807,1.967109649122807
7e954c69,AVAXUSDT,2026-06-23 10:00:00+00:00,short,-1.0,-1.022778083087995,-1.0284726038599936,-1.0284726038599936
b5d27850,DOTUSDT,2026-06-23 22:00:00+00:00,short,3.0,2.9761496503496505,1.970187062937063,1.970187062937063
27add125,DOTUSDT,2026-06-23 22:00:00+00:00,short,3.0,2.9761496503496505,1.970187062937063,1.970187062937063
e1ced2d1,LINKUSDT,2026-06-23 16:00:00+00:00,short,3.0,2.6131521297059552,1.789008175322887,1.789008175322887
3664274a,LINKUSDT,2026-06-23 16:00:00+00:00,short,3.0,2.6131521297059552,1.789008175322887,1.789008175322887
2540a177,BTCUSDT,2026-06-24 00:00:00+00:00,short,0.0,2.9472137330879122,0.4340171663598904,1.9340171663598904
1eefed50,BTCUSDT,2026-06-24 00:00:00+00:00,short,0.0,2.9472137330879122,0.4340171663598904,1.9340171663598904
b2383237,BNBUSDT,2026-06-24 00:00:00+00:00,short,0.0,2.9434903293256656,0.4293629116570821,1.929362911657082
2e8e4f87,SOLUSDT,2026-06-24 00:00:00+00:00,short,0.0,2.9646690153568205,0.4558362691960254,1.9558362691960254
e72e4465,BNBUSDT,2026-06-24 00:00:00+00:00,short,0.0,2.9434903293256656,0.4293629116570821,1.929362911657082
5b543053,SOLUSDT,2026-06-24 00:00:00+00:00,short,0.0,2.9646690153568205,0.4558362691960254,1.9558362691960254
41d5127f,AVAXUSDT,2026-06-24 21:00:00+00:00,short,-1.0,-1.0160878248974008,-1.020109781121751,-1.020109781121751
38e1dd4a,SOLUSDT,2026-06-24 22:00:00+00:00,short,0.8425925925925914,0.5657739917695419,0.7711063786008203,0.7711063786008203
d6385807,DOGEUSDT,2026-06-25 04:00:00+00:00,short,0.9601114955786216,1.2643507112648955,1.1197982506728168,1.1197982506728168
73e04fe4,BNBUSDT,2026-06-25 00:00:00+00:00,short,0.7840217103521365,0.49218750330951433,0.7281215912099597,0.7281215912099597
d56d83df,BNBUSDT,2026-06-25 00:00:00+00:00,short,0.7840217103521365,0.49218750330951433,0.7281215912099597,0.7281215912099597
51a0276a,BTCUSDT,2026-06-25 04:00:00+00:00,short,1.3505730271172696,2.9754889851454127,1.06783742047557,1.06783742047557
e532f890,SOLUSDT,2026-06-25 14:00:00+00:00,short,-1.0,-1.0217776397515528,-1.027222049689441,-1.027222049689441
c0b965b4,XRPUSDT,2026-06-25 14:00:00+00:00,short,0.5,0.49897399637399376,0.4621337088837092,0.7267672235172224
9e4d5145,ADAUSDT,2026-06-25 14:00:00+00:00,short,0.5,-1.0220057613168725,0.47249279835390945,-0.02750720164609055
b385047f,DOTUSDT,2026-06-25 14:00:00+00:00,short,0.5,2.9753627906976745,0.46920348837209297,1.969203488372093
379944e1,DOGEUSDT,2026-06-25 14:00:00+00:00,short,0.5,0.2882581333333425,0.46532266666666666,0.6233226666666712
e7a2b98a,DOTUSDT,2026-06-25 14:00:00+00:00,short,0.5,2.9753627906976745,0.46920348837209297,1.969203488372093
7338a3ff,SOLUSDT,2026-06-25 23:00:00+00:00,short,-1.0,-1.0140453481894152,-1.0175566852367688,-1.0175566852367688
e5772150,SOLUSDT,2026-06-25 23:00:00+00:00,short,-1.0,-1.0140453481894152,-1.0175566852367688,-1.0175566852367688
acc5f554,DOGEUSDT,2026-06-25 23:00:00+00:00,short,0.5,-0.35134107264087117,0.482157671418873,0.3136240665308882
903cc802,BNBUSDT,2026-06-25 23:00:00+00:00,short,0.5,-0.590166440992956,0.47391082570025234,0.18926327492367337
d5225800,BTCUSDT,2026-06-26 04:00:00+00:00,short,-1.0,-1.0215723978469726,-1.026965497308716,-1.026965497308716
4d0fdf81,AVAXUSDT,2026-06-26 04:00:00+00:00,short,-1.0,-1.0141414714344432,-1.017676839293054,-1.017676839293054
dd20b7ad,AVAXUSDT,2026-06-26 04:00:00+00:00,short,-1.0,-1.0141414714344432,-1.017676839293054,-1.017676839293054
b8dddb3b,ETHUSDT,2026-06-26 06:00:00+00:00,short,0.5,-1.0196759949576806,0.4754050063028993,-0.024594993697100703
b6f9ebd8,ETHUSDT,2026-06-26 06:00:00+00:00,short,0.5,-1.0196759949576806,0.4754050063028993,-0.024594993697100703
3036da27,ADAUSDT,2026-06-26 06:00:00+00:00,short,-1.0,-1.018345790080738,-1.0229322376009227,-1.0229322376009227
d7cb2b72,ADAUSDT,2026-06-26 06:00:00+00:00,short,-1.0,-1.018345790080738,-1.0229322376009227,-1.0229322376009227
1769fd48,BTCUSDT,2026-06-26 12:00:00+00:00,short,0.5,-0.583858168816958,0.46793514281279514,0.18883200127919808
b8711ad4,XRPUSDT,2026-06-26 16:00:00+00:00,short,-1.0,-1.0198600170502985,-1.0248250213128731,-1.0248250213128731
